,1,24,43,100,111,119,122,23,44,20,91,106,8,27,95,98,46,59,125,2,41,103,40,48,56,107,39,64,68,144
2001,1,24,43,100,111,119,122,23,44,21,21,106,8,148,95,98,111,44,2,2,1,103,152,152,2,107,44,64,23,64
2002,1,24,43,100,111,119,122,23,44,20,91,106,8,148,8,98,111,59,2,2,41,8,40,44,2,107,44,43,23,20
2003,1,24,43,100,111,119,122,23,44,20,59,106,8,68,8,98,46,59,125,2,41,8,40,105,2,107,44,43,68,20
2004,1,24,43,100,111,119,122,23,44,20,91,106,8,27,95,98,46,59,125,72,1,8,40,44,54,106,44,64,23,64
2005,1,24,43,100,111,119,122,23,44,20,91,0,8,27,95,98,111,59,91,72,41,8,40,48,72,27,44,43,23,20
2006,1,24,43,100,111,119,122,23,44,20,91,106,8,27,95,98,46,91,2,2,41,103,0,48,2,106,39,43,23,20
2007,1,24,43,100,111,119,122,120,44,20,91,106,8,27,95,80,46,123,125,72,1,103,134,105,72,106,44,6,120,6
2008,1,24,43,100,111,119,122,23,44,20,91,106,103,27,83,134,46,91,125,2,11,103,134,48,56,106,44,43,23,20
2009,1,24,43,100,111,119,122,23,44,20,91,12,44,27,95,98,46,59,125,72,41,44,0,48,56,12,44,43,23,144
2010,1,24,43,100,111,119,122,23,143,21,91,106,103,27,95,57,111,59,125,72,1,103,134,99,56,106,39,43,68,144
