Albury,Albury,Albury,Albury,Albury,Albury,Albury,Albury,Albury,Albury
Armidale Dumaresq,Armidale Dumaresq,Armidale Dumaresq,Bathurst Regional,Bathurst Regional,Armidale Dumaresq,Balranald,Armidale Dumaresq,Blacktown,Wyong
Bathurst Regional,Bathurst Regional,Bathurst Regional,Bourke,Bourke,Bathurst Regional,Bathurst Regional,Wagga Wagga,Wentworth,Wagga Wagga
Byron,Bourke,Bourke,Burwood,Burwood,Bourke,Bourke,Berrigan,Bourke,Wellington
Wollongong,Burwood,Burwood,Byron,Byron,Burwood,Byron,Bourke,Burwood,Wentworth
Brewarrina,Byron,Byron,Campbelltown,Campbelltown,Byron,Campbelltown,Burwood,Byron,Brewarrina
Burwood,Cootamundra,Cootamundra,Cootamundra,Cootamundra,Campbelltown,Coffs Harbour,Byron,Campbelltown,Burwood
Young,Corowa Shire,Corowa Shire,Deniliquin,Corowa Shire,Coonamble,Wagga Wagga,Campbelltown,Corowa Shire,Byron
Deniliquin,Deniliquin,Deniliquin,Dubbo,Deniliquin,Corowa Shire,Deniliquin,Deniliquin,Deniliquin,Campbelltown
Dubbo,Dubbo,Dubbo,Eurobodalla,Dubbo,Deniliquin,Dubbo,Dubbo,Dubbo,Coonamble
Gosford,Gunnedah,Eurobodalla,Great Lakes,Forbes,Dubbo,Eurobodalla,Eurobodalla,Eurobodalla,Deniliquin
Goulburn Mulwaree,Moree Plains,Gunnedah,Gunnedah,Gunnedah,Eurobodalla,Jerilderie,Forbes,Forbes,Greater Taree
Hay,Narrandera,Hurstville,Hay,Kempsey,Forbes,Kempsey,Greater Taree,Greater Taree,Griffith
Muswellbrook,Newcastle,Narrandera,Kempsey,Moree Plains,Moree Plains,Leeton,Lithgow,Gunnedah,Gunnedah
Narrandera,Parramatta,Newcastle,Moree Plains,Muswellbrook,Muswellbrook,Moree Plains,Moree Plains,Kempsey,Hurstville
Newcastle,Penrith,Parkes,Muswellbrook,Narrandera,Narrandera,Muswellbrook,Newcastle,Moree Plains,Kempsey
Orange,Queanbeyan,Parramatta,Narrandera,Newcastle,Newcastle,Newcastle,Orange,Muswellbrook,Manly
Parramatta,Shoalhaven,Penrith,Newcastle,Queanbeyan,Orange,Orange,Parramatta,Narrandera,Moree Plains
Penrith,Snowy River,Queanbeyan,Parramatta,Shoalhaven,Parramatta,Parkes,Queanbeyan,Newcastle,Muswellbrook
Queanbeyan,Wollongong,Snowy River,Queanbeyan,Snowy River,Queanbeyan,Parramatta,Snowy River,Queanbeyan,Narromine
Snowy River,Sydney,Wollongong,Snowy River,Sydney,Snowy River,Queanbeyan,Sydney,Snowy River,Newcastle
Sydney,,Sydney,Sydney,,Sydney,Snowy River,Tenterfield,Sydney,Orange
,,Tenterfield,Tenterfield,,,Strathfield,,Tenterfield,Parramatta
,,,,,,Sydney,,,Queanbeyan
,,,,,,Tamworth Regional,,,Shoalhaven
,,,,,,Tenterfield,,,Snowy River
,,,,,,,,,Sydney
,,,,,,,,,Tenterfield
